"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Florida","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","26","32,057","6,921","351"
"Florida","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","23","47,040","12,939","696"
"Florida","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2020","9","51,281","18,150","584"
"Florida","541511","Custom computer programming services","Partnerships","Establishments with 100 to 249 employees","2020","6","83,279","18,699","833"
"Florida","541511","Custom computer programming services","Non-profit","All establishments","2020","7","181,121","42,571","2,044"
"Florida","541511","Custom computer programming services","Non-profit","Establishments with less than 5 employees","2020","4","767","141","11"
"Georgia","541511","Custom computer programming services","All establishments","All establishments","2020","2,440","3,083,795","760,310","31,688"
"Georgia","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","1,834","197,802","36,154","2,291"
"Georgia","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","194","114,668","27,572","1,313"
"Georgia","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","143","187,188","41,698","1,958"
"Georgia","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","139","437,401","108,644","4,264"
"Georgia","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","63","451,492","115,528","4,611"
"Georgia","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","49","737,835","182,887","7,632"
"Georgia","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2020","13","425,634","108,884","4,310"
"Georgia","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2020","4","341,696","93,876","3,269"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","521","1,966,139","492,652","18,553"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","277","66,419","9,534","413"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","72","46,716","12,050","473"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","42","68,316","15,262","556"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","52","188,689","49,543","1,582"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","32","235,609","61,816","2,285"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","31","478,061","116,791","4,672"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","10","350,554","88,713","3,263"
"Georgia","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","4","341,696","93,876","3,269"
"Georgia","541511","Custom computer programming services","S-corporations","All establishments","2020","1,659","809,098","191,225","9,859"
"Georgia","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","1,381","110,123","22,596","1,660"
"Georgia","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","100","56,247","12,714","684"
"Georgia","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","72","83,187","18,036","988"
"Georgia","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","71","201,250","47,752","2,240"
"Georgia","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","19","122,888","30,940","1,393"
"Georgia","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","14","181,046","43,941","2,299"
"Georgia","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","79","50,494","13,067","570"
"Georgia","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","67","4,581","1,056","75"
"Georgia","541511","Custom computer programming services","Individual proprietorships","Establishments with 10 to 19 employees","2020","4","4,976","1,292","69"
"Georgia","541511","Custom computer programming services","Individual proprietorships","Establishments with 20 to 49 employees","2020","3","7,328","1,659","84"
"Georgia","541511","Custom computer programming services","Partnerships","All establishments","2020","175","254,320","62,363","2,662"
"Georgia","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","105","15,711","2,688","134"
"Georgia","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","19","10,023","2,460","135"
"Georgia","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","25","30,709","7,108","345"
"Georgia","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","12","38,393","9,197","330"
"Georgia","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2020","10","78,363","18,921","781"
"Georgia","541511","Custom computer programming services","Partnerships","Establishments with 100 to 249 employees","2020","3","60,398","17,064","485"
"Georgia","541511","Custom computer programming services","Non-profit","All establishments","2020","5","3,351","904","40"
"Georgia","541511","Custom computer programming services","Non-profit","Establishments with less than 5 employees","2020","3","575","181","5"
"Hawaii","541511","Custom computer programming services","All establishments","All establishments","2020","147","79,364","18,757","964"
"Hawaii","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","118","12,434","2,761","167"
"Hawaii","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","13","5,111","1,307","83"
"Hawaii","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","7","7,425","1,758","92"
"Hawaii","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","6","37,616","8,608","384"
"Hawaii","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","56","52,005","12,509","643"
"Hawaii","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","37","5,416","1,267","58"
"Hawaii","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","8","3,773","965","49"
"Hawaii","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","4","4,062","971","53"
"Hawaii","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","4","21,976","4,983","245"
"Hawaii","541511","Custom computer programming services","S-corporations","All establishments","2020","76","9,944","2,146","144"
"Hawaii","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","71","6,345","1,335","100"
"Hawaii","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","3","1,009","248","20"
"Hawaii","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","7","1,455","409","29"
"Hawaii","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","5","570","131","5"
"Hawaii","541511","Custom computer programming services","Partnerships","All establishments","2020","5","4,684","1,178","58"
"Hawaii","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","4","100","26","3"
"Idaho","541511","Custom computer programming services","All establishments","All establishments","2020","302","166,685","40,968","2,869"
"Idaho","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","229","18,960","3,732","315"
"Idaho","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","31","14,191","3,198","212"
"Idaho","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","17","18,955","4,062","236"
"Idaho","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","16","39,294","10,109","517"
"Idaho","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","5","26,709","6,417","357"
"Idaho","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","3","26,817","6,678","467"
"Idaho","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","72","112,340","28,680","1,945"
"Idaho","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","39","5,314","1,111","54"
"Idaho","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","10","5,876","1,395","67"
"Idaho","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","7","10,850","2,255","106"
"Idaho","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","10","29,012","7,392","357"
"Idaho","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","3","26,817","6,678","467"
"Idaho","541511","Custom computer programming services","S-corporations","All establishments","2020","183","36,140","7,932","611"
"Idaho","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","153","11,359","2,160","217"
"Idaho","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","17","7,775","1,630","120"
"Idaho","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","9","6,782","1,598","115"
"Idaho","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","3","3,745","1,060","74"
"Idaho","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","21","8,852","2,239","158"
"Idaho","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","17","613","144","19"
"Idaho","541511","Custom computer programming services","Partnerships","All establishments","2020","26","9,353","2,117","155"
"Idaho","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","20","1,674","317","25"
"Idaho","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","3","272","110","17"
"Illinois","541511","Custom computer programming services","All establishments","All establishments","2020","2,890","4,557,640","1,063,571","39,575"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","2,124","228,430","42,718","2,644"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","252","150,945","35,196","1,654"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","203","269,699","63,735","2,822"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","173","594,551","140,951","5,420"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","62","468,174","122,915","4,393"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","50","1,423,610","260,402","7,598"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2020","18","557,678","168,406","5,926"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2020","4","263,372","66,361","2,969"
"Illinois","541511","Custom computer programming services","All establishments","Establishments with 1,000 employees or more","2020","4","601,181","162,887","6,149"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","643","2,774,283","628,937","21,350"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","378","72,246","10,913","525"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","70","49,873","11,734","459"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","54","92,494","22,397","792"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","65","226,207","60,012","2,189"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","29","254,654","70,302","2,055"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","30","1,092,720","183,018","4,476"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","11","327,500","99,072","3,424"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","3","184,797","48,130","2,190"
"Illinois","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 1,000 employees or more","2020","3","473,792","123,359","5,240"
"Illinois","541511","Custom computer programming services","S-corporations","All establishments","2020","1,941","1,063,717","248,923","12,057"
"Illinois","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","1,567","134,373","27,069","1,838"
"Illinois","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","143","78,248","18,210","942"
"Illinois","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","112","121,389","28,304","1,527"
"Illinois","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","79","242,101","56,770","2,407"
"Illinois","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","26","167,366","40,798","1,859"
"Illinois","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","8","117,915","26,618","1,368"
"Illinois","541511","Custom computer programming services","S-corporations","Establishments with 250 to 499 employees","2020","6","202,325","51,154","2,116"
"Illinois","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","72","96,779","35,748","1,031"
"Illinois","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","56","5,712","1,297","92"
"Illinois","541511","Custom computer programming services","Individual proprietorships","Establishments with 5 to 9 employees","2020","6","2,650","692","39"
"Illinois","541511","Custom computer programming services","Individual proprietorships","Establishments with 20 to 49 employees","2020","3","6,462","1,859","69"
"Illinois","541511","Custom computer programming services","Individual proprietorships","Establishments with 100 to 249 employees","2020","3","45,064","11,093","348"
"Illinois","541511","Custom computer programming services","Partnerships","All establishments","2020","230","615,012","148,156","4,983"
"Illinois","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","121","15,910","3,384","187"
"Illinois","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","33","20,174","4,560","214"
"Illinois","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","35","53,104","12,330","478"
"Illinois","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","25","116,681","21,585","722"
"Illinois","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2020","6","39,828","9,892","407"
"Illinois","541511","Custom computer programming services","Partnerships","Establishments with 100 to 249 employees","2020","8","163,351","38,646","1,287"
"Illinois","541511","Custom computer programming services","Non-profit","All establishments","2020","4","7,849","1,807","154"
"Indiana","541511","Custom computer programming services","All establishments","All establishments","2020","772","973,530","244,162","12,664"
"Indiana","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","558","52,530","10,531","762"
"Indiana","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","83","41,332","9,069","530"
"Indiana","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","54","55,921","12,259","704"
"Indiana","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","39","108,222","26,053","1,226"
"Indiana","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","9","62,774","17,923","644"
"Indiana","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","21","279,616","71,259","2,985"
"Indiana","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2020","4","82,749","19,442","1,276"
"Indiana","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2020","3","188,567","49,206","2,018"
"Indiana","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","140","456,261","114,861","4,951"
"Indiana","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","79","12,216","2,383","114"
"Indiana","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","20","14,956","2,743","128"
"Indiana","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","12","12,769","2,866","151"
"Indiana","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","12","37,857","9,033","346"
"Indiana","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","10","140,052","36,806","1,487"
"Indiana","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","3","188,567","49,206","2,018"
"Indiana","541511","Custom computer programming services","S-corporations","All establishments","2020","538","300,515","71,881","3,630"
"Indiana","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","421","35,891","7,195","571"
"Indiana","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","48","19,872","4,819","306"
"Indiana","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","33","34,285","7,458","442"
"Indiana","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","21","55,663","13,456","698"
"Indiana","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","6","40,136","11,683","402"
"Indiana","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","9","114,668","27,270","1,211"
"Indiana","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","26","116,040","32,371","2,665"
"Indiana","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","20","755","164","19"
"Indiana","541511","Custom computer programming services","Partnerships","All establishments","2020","66","100,420","24,992","1,411"
"Indiana","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","37","3,659","789","58"
"Indiana","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","12","5,639","1,289","79"
"Indiana","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","8","8,149","1,567","99"
"Indiana","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","5","13,261","3,258","160"
"Iowa","541511","Custom computer programming services","All establishments","All establishments","2020","400","638,910","154,889","8,514"
"Iowa","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","285","21,929","4,956","399"
"Iowa","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","37","15,115","3,636","239"
"Iowa","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","22","21,991","5,088","298"
"Iowa","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","27","56,768","13,834","709"
"Iowa","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","15","78,133","18,061","1,013"
"Iowa","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","6","72,213","18,051","858"
"Iowa","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2020","5","145,188","40,017","1,705"
"Iowa","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","88","423,242","103,732","5,681"
"Iowa","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","50","4,430","1,054","78"
"Iowa","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","8","2,800","719","46"
"Iowa","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","5","4,299","1,329","74"
"Iowa","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","10","24,323","6,198","272"
"Iowa","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","6","34,915","7,526","366"
"Iowa","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","3","44,870","11,518","523"
"Iowa","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","3","80,032","24,142","1,029"
"Iowa","541511","Custom computer programming services","S-corporations","All establishments","2020","270","193,246","45,805","2,524"
"Iowa","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","205","16,039","3,608","287"
"Iowa","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","27","11,759","2,771","182"
"Iowa","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","10","10,759","2,046","125"
"Iowa","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","15","28,834","6,800","398"
"Iowa","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","9","43,218","10,535","647"
"Iowa","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","18","5,222","1,306","81"
"Iowa","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","13","359","83","17"
"Iowa","541511","Custom computer programming services","Partnerships","All establishments","2020","24","17,200","4,046","228"
"Iowa","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","17","1,101","211","17"
"Iowa","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","5","4,437","1,075","65"
"Kansas","541511","Custom computer programming services","All establishments","All establishments","2020","417","726,209","140,341","6,763"
"Kansas","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","280","27,965","5,628","366"
"Kansas","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","50","26,348","5,954","336"
"Kansas","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","43","42,329","10,085","561"
"Kansas","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","22","57,422","13,033","637"
"Kansas","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","12","85,170","19,785","827"
"Kansas","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","6","90,205","21,618","990"
"Kansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","105","405,875","71,862","3,549"
"Kansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","60","10,647","1,919","75"
"Kansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","13","8,155","1,903","87"
"Kansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","15","15,844","3,724","197"
"Kansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","4","8,036","1,947","94"
"Kansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","6","44,668","10,793","426"
"Kansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","4","53,666","13,596","683"
"Kansas","541511","Custom computer programming services","S-corporations","All establishments","2020","237","129,326","28,888","1,460"
"Kansas","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","178","14,533","3,107","236"
"Kansas","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","25","11,168","2,532","166"
"Kansas","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","16","16,882","4,104","218"
"Kansas","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","12","31,297","7,394","347"
"Kansas","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","5","34,201","7,483","344"
"Kansas","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","24","30,809","7,387","324"
"Kansas","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","15","753","136","20"
"Kansas","541511","Custom computer programming services","Individual proprietorships","Establishments with 5 to 9 employees","2020","3","2,120","599","17"
"Kansas","541511","Custom computer programming services","Individual proprietorships","Establishments with 10 to 19 employees","2020","3","2,474","605","40"
"Kansas","541511","Custom computer programming services","Partnerships","All establishments","2020","51","160,199","32,204","1,430"
"Kansas","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","27","2,032","466","35"
"Kansas","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","9","4,905","920","66"
"Kansas","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","9","7,129","1,652","106"
"Kansas","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","5","14,222","2,908","164"
"Kentucky","541511","Custom computer programming services","All establishments","All establishments","2020","393","435,520","107,338","5,288"
"Kentucky","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","270","26,585","5,637","413"
"Kentucky","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","41","23,516","5,158","283"
"Kentucky","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","40","43,289","9,837","529"
"Kentucky","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","17","39,769","10,240","503"
"Kentucky","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","16","101,686","27,677","1,041"
"Kentucky","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","6","79,740","18,760","917"
"Kentucky","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","97","209,453","55,292","2,415"
"Kentucky","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","58","6,479","1,536","85"
"Kentucky","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","9","6,029","1,697","57"
"Kentucky","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","7","8,697","2,062","96"
"Kentucky","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","6","16,515","4,494","173"
"Kentucky","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","14","90,172","24,791","926"
"Kentucky","541511","Custom computer programming services","S-corporations","All establishments","2020","226","172,494","40,059","2,276"
"Kentucky","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","167","13,727","2,875","255"
"Kentucky","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","26","12,291","2,745","181"
"Kentucky","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","19","19,647","4,455","252"
"Kentucky","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","8","13,274","3,259","222"
"Kentucky","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","4","56,358","12,960","645"
"Kentucky","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","22","7,283","1,814","102"
"Kentucky","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","18","1,416","350","23"
"Kentucky","541511","Custom computer programming services","Individual proprietorships","Establishments with 10 to 19 employees","2020","3","2,674","576","32"
"Kentucky","541511","Custom computer programming services","Partnerships","All establishments","2020","47","46,270","10,168","493"
"Kentucky","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","26","4,943","871","48"
"Kentucky","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","6","5,196","716","45"
"Kentucky","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","11","12,271","2,744","149"
"Louisiana","541511","Custom computer programming services","All establishments","All establishments","2020","347","219,667","54,130","2,844"
"Louisiana","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","227","20,708","4,319","334"
"Louisiana","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","56","24,654","5,906","378"
"Louisiana","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","31","29,871","7,382","414"
"Louisiana","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","25","63,153","15,125","800"
"Louisiana","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","4","21,960","6,093","283"
"Louisiana","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","4","59,321","15,305","635"
"Louisiana","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","81","97,912","23,417","1,093"
