State,Business size,#Establishments,Total #employees,Region,Men to women degree holders ratio,#Bachelor's degree holders,#Science and Engineering degree holders,#Science and Engineering Related Fields degree holders,#Business degree holders,#Education degree holders,"#Arts, Humanities and Others degree holders",#(Mid)Senior degree holders,(Mid)Senior to total ratio,Degree holders to establishments ratio,Rate born - exited,Average rank,Average #employees,State code
Oregon,Establishments with 50 to 99 employees,14,992,West,0.9003085215265557,1032316,420064,86986,149989,110849,264428,782560,0.7580624537447835,86026.33333333333,0.5394545454545465,202.0,70.85714285714286,OR
Oregon,Establishments with 100 to 249 employees,10,1562,West,0.9003085215265557,1032316,420064,86986,149989,110849,264428,782560,0.7580624537447835,86026.33333333333,0.5394545454545465,202.0,156.2,OR
Pennsylvania,Establishments with 50 to 99 employees,74,5085,Northeast,0.8944648598243722,2917402,972658,325160,557288,402944,659352,2315847,0.7938045562455911,47054.87096774193,-0.006999999999999673,91.58333333333333,68.71621621621621,PA
Pennsylvania,Establishments with 100 to 249 employees,31,4875,Northeast,0.8944648598243722,2917402,972658,325160,557288,402944,659352,2315847,0.7938045562455911,47054.87096774193,-0.006999999999999673,91.58333333333333,157.25806451612902,PA
Pennsylvania,Establishments with 250 to 499 employees,12,4103,Northeast,0.8944648598243722,2917402,972658,325160,557288,402944,659352,2315847,0.7938045562455911,47054.87096774193,-0.006999999999999673,91.58333333333333,341.9166666666667,PA
Pennsylvania,Establishments with 500 to 999 employees,4,2959,Northeast,0.8944648598243722,2917402,972658,325160,557288,402944,659352,2315847,0.7938045562455911,47054.87096774193,-0.006999999999999673,91.58333333333333,739.75,PA
Pennsylvania,Establishments with 1000 employees or more,3,5791,Northeast,0.8944648598243722,2917402,972658,325160,557288,402944,659352,2315847,0.7938045562455911,47054.87096774193,-0.006999999999999673,91.58333333333333,1930.3333333333333,PA
Rhode Island,Establishments with 100 to 249 employees,3,489,Northeast,0.8835257082896117,260275,90446,25154,47251,29657,67767,205345,0.7889539909710883,173516.66666666666,-0.24727272727272798,103.0,163.0,RI
South Carolina,Establishments with 50 to 99 employees,7,450,Southeast,0.8436475080245316,1054559,327661,106360,244608,158539,217391,791368,0.7504255333272012,191738.0,0.31518181818181823,176.0,64.28571428571429,SC
South Carolina,Establishments with 100 to 249 employees,4,688,Southeast,0.8436475080245316,1054559,327661,106360,244608,158539,217391,791368,0.7504255333272012,191738.0,0.31518181818181823,176.0,172.0,SC
